GEN,REP,BLOCK,ENV,site,Elevation_M,Soil_pH,Soil_Na,Avg_temp,Cum_precip,PROTEIN_g/kg,OIL_g/kg,Country_of_Origin,Soil_Type
KALEYA,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,417.9,197.2,Zambia,Ferric Luvisols
KALEYA,2,6,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,412.5,205.7,Zambia,Ferric Luvisols
LUKANGA,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,397.9,200.6,Zambia,Ferric Luvisols
LUKANGA,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,389.9,210.4,Zambia,Ferric Luvisols
MAKWACHA,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,424.1,165.0,Malawi,Ferric Luvisols
MAKWACHA,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,,,Malawi,Ferric Luvisols
MHOFU,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,389.8,201.2,Zimbabwe,Ferric Luvisols
MHOFU,2,7,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,394.5,199.6,Zimbabwe,Ferric Luvisols
NASOKO,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,420.2,175.4,Malawi,Ferric Luvisols
NASOKO,2,8,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,437.0,164.8,Malawi,Ferric Luvisols
SC_EXPT1,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,433.2,184.7,Zimbabwe,Ferric Luvisols
SC_EXPT1,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,440.0,175.0,Zimbabwe,Ferric Luvisols
SC_EXPT2,1,4,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,416.3,201.7,Zimbabwe,Ferric Luvisols
SC_EXPT2,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,404.2,213.0,Zimbabwe,Ferric Luvisols
SC_EXPT3,1,2,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,411.2,198.7,Zimbabwe,Ferric Luvisols
SC_EXPT3,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,,,Zimbabwe,Ferric Luvisols
SC_SAGA,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,411.7,193.2,Zimbabwe,Ferric Luvisols
SC_SAGA,2,8,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,404.5,192.8,Zimbabwe,Ferric Luvisols
SC_SIGNAL,1,4,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,388.5,188.2,Zimbabwe,Ferric Luvisols
SC_SIGNAL,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,,,Zimbabwe,Ferric Luvisols
SC_SL01,1,3,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,409.8,194.0,Zimbabwe,Ferric Luvisols
SC_SL01,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,402.5,202.0,Zimbabwe,Ferric Luvisols
SC_SPIKE,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,403.2,196.7,Zimbabwe,Ferric Luvisols
SC_SPIKE,2,6,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,,,Zimbabwe,Ferric Luvisols
TGX_1987-62F,1,2,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,410.5,176.7,Nigeria,Ferric Luvisols
TGX_1987-62F,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,416.7,182.1,Nigeria,Ferric Luvisols
TGX_2002-9FM,1,2,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,405.3,207.4,Zambia,Ferric Luvisols
TGX_2002-9FM,2,8,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,407.5,209.2,Zambia,Ferric Luvisols
TGX_2014-16FM,1,3,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,408.2,195.9,Zambia,Ferric Luvisols
TGX_2014-16FM,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,425.8,185.3,Zambia,Ferric Luvisols
TIKOLORE,1,4,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,405.3,181.4,Malawi,Ferric Luvisols
TIKOLORE,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,397.4,187.4,Malawi,Ferric Luvisols
BIMHA,1,5,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,412.0,196.3,Zimbabwe,Ferric Luvisols
BIMHA,2,7,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,414.0,199.7,Zimbabwe,Ferric Luvisols
KALEYA,1,5,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,417.7,206.9,Zambia,Ferric Luvisols
KALEYA,2,7,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,432.2,198.2,Zambia,Ferric Luvisols
LUKANGA,1,2,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,394.6,203.5,Zambia,Ferric Luvisols
LUKANGA,2,9,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,384.3,209.5,Zambia,Ferric Luvisols
MAKWACHA,1,3,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,416.6,182.3,Malawi,Ferric Luvisols
MAKWACHA,2,7,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,421.7,184.0,Malawi,Ferric Luvisols
MHOFU,1,1,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,389.8,198.7,Zimbabwe,Ferric Luvisols
MHOFU,2,9,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,417.1,191.3,Zimbabwe,Ferric Luvisols
NASOKO,1,2,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,409.6,184.8,Malawi,Ferric Luvisols
NASOKO,2,6,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,422.3,174.0,Malawi,Ferric Luvisols
SC_EXPT1,1,3,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,,,Zimbabwe,Ferric Luvisols
SC_EXPT1,2,10,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,421.1,195.6,Zimbabwe,Ferric Luvisols
