experiment,tube,treatment,corn_trait,colony,block,rep,larv_surv,hcw1,hcw2,hcw3,hcw4,hcw5,hcw6,Average,HCW_20,total_larva_weighed,larv_dw,weight_per_larvae,root_dw,seed_num
21KYL,118,CC,BT,CTRL,2,2,,,,,,,,,,,,,0.21534,2
21KYL,138,CC,BT,CTRL,2,3,,,,,,,,,,,,,0.2555,2
21KYL,162,TR,ISO,CTRL,2,1,,,,,,,,,,,,,0.2181,2
21KYL,190,TR,ISO,CTRL,2,2,,,,,,,,,,,,,0.21455,2
21KYL,214,TR,ISO,CTRL,2,3,,,,,,,,,,,,,0.2746,2
21KYL,234,TR,BT,CTRL,2,1,,,,,,,,,,,,,0.2221,2
21KYL,262,TR,BT,CTRL,2,2,,,,,,,,,,,,,0.13742,2
21KYL,282,TR,BT,CTRL,2,3,,,,,,,,,,,,,0.17713,2
21KYL,3,CC,ISO,SUS,3,1,3,8,8,8.5,,,,8.166666667,0.408333333,3,0.349,0.116333333,0.33869,2
21KYL,11,CC,ISO,RES,3,1,3,7,7,8,,,,7.333333333,0.366666667,3,0.342,0.114,0.30092,2
21KYL,31,CC,ISO,SUS,3,2,4,7,7,6.5,7,,,6.875,0.34375,4,0.347,0.08675,0.29842,2
21KYL,39,CC,ISO,RES,3,2,4,9,8,7,9,,,8.25,0.4125,4,0.402,0.1005,0.33998,2
21KYL,55,CC,ISO,SUS,3,3,5,6,7,6.5,8,7,,6.9,0.345,5,0.488,0.0976,0.31313,2
21KYL,59,CC,ISO,RES,3,3,1,7,,,,,,7,0.35,1,0.08,0.08,0.25077,2
21KYL,79,CC,BT,SUS,3,1,2,5,4.5,,,,,4.75,0.2375,2,0.112,0.056,0.27,2
21KYL,83,CC,BT,RES,3,1,6,9,9,8.5,10,7.5,9,8.833333333,0.441666667,6,0.86,0.143333333,0.29441,2
21KYL,103,CC,BT,SUS,3,2,0,,,,,,,,,0,,,0.335,2
21KYL,111,CC,BT,RES,3,2,2,6.5,8,,,,,7.25,0.3625,2,0.093,0.0465,0.28382,2
21KYL,123,CC,BT,SUS,3,3,1,6,,,,,,6,0.3,1,0.025,0.025,0.1882,2
21KYL,131,CC,BT,RES,3,3,1,7.5,,,,,,7.5,0.375,1,0.063,0.063,0.3399,2
21KYL,151,TR,ISO,SUS,3,1,5,7,9,8.5,6,8,,7.7,0.385,5,0.455,0.091,0.30977,2
21KYL,155,TR,ISO,RES,3,1,4,9,8.5,9,9,,,8.875,0.44375,4,0.509,0.12725,0.34918,2
21KYL,175,TR,ISO,SUS,3,2,4,7,6.5,6,7.5,,,6.75,0.3375,4,0.478,0.1195,0.27766,2
