Block,Position,Species,Treatment,Visual Cues in Block,Total Distance,Velocity,Frequency Treatment Stimulus Zone,Time Spent Treatment Stimulus Zone,Latency Treatment Stimulus Zone,Frequency Control Stimulus Zone,Time Spent Control Stimulus Zone,Latency Control Stimulus Zone,Frequency Treatment Half,Time Spent Treatment Half,Latency Treatment Half,Frequency Control Half,Time Spent Control Half,Latency Control Half
Trial    58,Arena 5,LGB,Visual,Yes,2.52654,0.00429031,0,0,600,0,0,600,8,303.864,134.132,2,287.064,0
Trial    58,Arena 1,LGB,Control,Yes,3.55375,0.00595872,0,0,600,0,0,600,6,598.894,0,0,0,600
Trial    56,Arena 6,LGB,Control,Yes,4.09539,0.00683407,0,0,600,0,0,600,1,217.664,0,1,382.396,217.664
Trial    58,Arena 2,LGB,Visual,Yes,8.68421,0.0148746,0,0,600,0,0,600,18,91.0658,0,9,51.0662,79.2659
Trial    56,Arena 5,LGB,Visual,Yes,12.3405,0.0206491,0,0,600,0,0,600,9,250.164,0,1,21.4331,124.465
Trial    63,Arena 6,LGB,Visual,Yes,12.6345,0.032583,0,0,600,0,0,600,7,147.899,0,0,0,600
Trial    61,Arena 3,LGB,Combination,Yes,14.1712,0.0239596,0,0,600,0,0,600,10,515.162,0,2,28.3331,492.562
Trial    56,Arena 2,LGB,Visual,Yes,14.5586,0.0297765,0,0,600,0,0,600,24,430.462,0,0,0,600
Trial    57,Arena 1,LGB,Olfactory,No,17.3356,0.028917,0,0,600,0,0,600,1,469.229,0,1,130.832,469.229
Trial    58,Arena 6,LGB,Control,Yes,21.0549,0.0351367,0,0,600,0,0,600,1,140.932,459.129,1,459.129,0
Trial    58,Arena 4,LGB,Combination,Yes,29.5525,0.0507548,0,0,600,0,0,600,23,347.897,14.9665,1,14.9665,0
Trial    64,Arena 1,LGB,Control,Yes,31.4388,0.0555265,0,0,600,0,0,600,38,479.862,95.6657,1,95.6657,0
